order,sample,date,site,treatment,sensor mas proximo,plot,light_plot,humidity_plot,soil_respiration_plot,tree_identity,tree_size(dbh),tree_defoliation,pathogen,litter_depth,litter_moisture,litter_mass,q_suber,q_canariensis,o_europaea,others,non_id,decomposition_level_1,decomposition_level_2,decomposition_level_3,wood,oribatida,mesostigmata,others_acari ,araneae,pseudoscorpionida,Isopoda,entomobryomorpha ,neelipleona,poduromorpha,symphypleona ,coleoptera,diptera,himenoptera,thysanoptera,myriapoda,nematoda,others_arthropods,obs
13,26.1,66,gamir,D,sensor 2,4,0.404,22.5,4.212656948,26,52.52113122,1,,3.7,,85.6,6.203271028,10,0,0,83.79672897,9.37,4.5,71.73,16.62,21,11,0,0,0,0,5,0,6,0,0,1,0,0,1,0,3,
14,30.3,66,gamir,D,sensor 3,4,0.384,17.7,4.550170534,30,52.2113122,1,,4.3,,62.05,9.814665592,22.4979855,0,0,67.68734891,12.14,7.91,42,24,164,30,0,0,0,0,9,0,25,0,2,0,0,0,3,2,7,
15,32.2,66,gamir,D,sensor 4,4,0.336,25,6.580976257,32,12.73239545,0,,2.8,,23.03,18.01997395,18.62787668,0,0,63.35214937,4.22,4.22,14.59,3.48,192,94,1,1,0,0,27,5,86,3,1,1,4,2,2,1,10,
16,36.1,66,gamir,C,sensor 1,5,0.331,21.7,5.36862767,36,32.46760839,1,,2.8,,36.17,27.14957147,10.00829417,0,0,62.84213437,9.88,3.56,22.73,7.11,242,55,4,0,0,0,33,0,40,10,0,9,0,1,0,2,3,
17,40.3,66,gamir,C,sensor 2,5,0.372,17.3,5.08543156,40,57.29577951,1,,5.2,,57.71,29.54427309,24.88303587,0,0,45.57269104,25.99,5.42,26.3,13.45,265,38,7,4,0,0,19,0,29,6,2,3,3,0,1,0,2,
18,44.1,66,gamir,C,sensor 3,5,s3,15.2,5.08543156,44,47.74648293,2,,5.7,,51.1,18.43444227,25.6555773,0,0,55.90998043,11.37,11.16,28.57,19.81,20,5,2,0,1,0,5,0,4,2,0,2,0,0,0,0,0,
19,47.1,66,gamir,D,sensor 1,6,0.277,21.6,4.149848727,47,15.91549431,0,,4.5,,89.41,6.766580919,7.73962644,0,0,85.49379264,5.1,7.87,76.44,17.57,215,94,0,1,0,0,5,0,8,0,1,0,0,1,1,0,4,
20,50.2,66,gamir,D,sensor 2,6,0.26,24.1,6.547946835,50,13.36901522,0,,3.8,,44.63,28.43378893,16.24467847,0,0,55.3215326,14.35,5.59,24.69,20.23,1005,134,4,2,0,0,98,0,17,1,3,3,0,14,0,1,10,
21,52.1,66,gamir,D,sensor 1,6,0.521,21.6,8.286719888,52,58.88732894,2,,4,,24.88,37.41961415,29.74276527,0,0,32.83762058,13.61,3.1,8.17,11.8,14,9,5,0,0,0,3,0,2,0,1,2,0,6,0,4,1,
22,53.3,66,gamir,D,sensor 6,6,0.525,13.1,2.59034127,53,15.27887454,2,,2.5,,43.83,9.559662332,12.20625143,0,0,78.23408624,5.01,4.53,34.29,12.87,14,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,3,
Total,,,,,,,,,,,,,,,,1300.38,15.94222332,17.84130826,,,66.05879898,242.61,147.96,909.81,1300.38,6228,1281,128,15,13,4,568,9,703,89,33,86,19,93,17,28,162,9476
,,,,,,,,,,,,,,,,promedios,,,,,,,,,,,,,,,,,,,,,,,,,,,
